reactionID,dcid
bio/HMR_0894,bio/H
bio/HMR_0895,bio/H
bio/HMR_0896,bio/H
bio/HMR_0897,bio/H
bio/HMR_0898,bio/H
bio/HMR_0899,bio/H
bio/HMR_0900,bio/H
bio/HMR_0901,bio/H
bio/HMR_0902,bio/H
bio/HMR_0903,bio/H
bio/HMR_0904,bio/H
bio/HMR_0905,bio/H
bio/HMR_0906,bio/H
bio/HMR_0907,bio/H
bio/HMR_0908,bio/H
bio/HMR_0909,bio/H
bio/HMR_0910,bio/H
bio/HMR_0911,bio/H
bio/HMR_0912,bio/H
bio/HMR_0794,bio/H
bio/HMR_0915,bio/H
bio/HMR_0919,bio/H
bio/HMR_0924,bio/H
bio/HMR_0926,bio/H
bio/HMR_8379,bio/H
bio/HMR_1979,bio/H
bio/HMR_1996,bio/H
bio/HMR_1325,bio/H
bio/HMR_1326,bio/H
bio/HMR_1327,bio/H
bio/HMR_1337,bio/H
bio/HMR_1341,bio/H
bio/HMR_1342,bio/H
bio/HMR_1343,bio/H
bio/HMR_1347,bio/H
bio/HMR_1355,bio/H
bio/HMR_1358,bio/H
bio/HMR_1361,bio/H
bio/HMR_1363,bio/H
bio/HMR_1364,bio/H
bio/HMR_1383,bio/H
bio/HMR_1389,bio/H
bio/HMR_7600,bio/H
bio/HMR_7603,bio/H
bio/HMR_7604,bio/H
bio/HMR_7605,bio/H
bio/HMR_7606,bio/H
bio/HMR_7610,bio/H
bio/HMR_7615,bio/H
bio/HMR_8643,bio/H
bio/HMR_1608,bio/H
bio/HMR_1611,bio/H
bio/HMR_1622,bio/H
bio/HMR_1659,bio/H
bio/HMR_1660,bio/H
bio/HMR_1692,bio/H
bio/HMR_1696,bio/H
bio/HMR_1718,bio/H
bio/HMR_1729,bio/H
bio/HMR_1730,bio/H
bio/HMR_1738,bio/H
bio/HMR_1766,bio/H
bio/HMR_1830,bio/H
bio/HMR_1843,bio/H
bio/HMR_1846,bio/H
bio/HMR_3908,bio/H
bio/HMR_4679,bio/H
bio/HMR_1847,bio/H
bio/HMR_1853,bio/H
bio/HMR_1868,bio/H
bio/HMR_1870,bio/H
bio/HMR_1872,bio/H
bio/HMR_1874,bio/H
bio/HMR_1896,bio/H
bio/HMR_1405,bio/H
bio/HMR_1410,bio/H
bio/HMR_1411,bio/H
bio/HMR_1412,bio/H
bio/HMR_1413,bio/H
bio/HMR_1414,bio/H
bio/HMR_1416,bio/H
bio/HMR_1417,bio/H
bio/HMR_8317,bio/H
bio/HMR_3992,bio/H
bio/HMR_4228,bio/H
bio/HMR_4253,bio/H
bio/HMR_4255,bio/H
bio/HMR_4259,bio/H
bio/HMR_4260,bio/H
bio/HMR_4262,bio/H
bio/HMR_4263,bio/H
bio/HMR_4265,bio/H
bio/HMR_4269,bio/H
bio/HMR_4662,bio/H
bio/HMR_7143,bio/H
bio/HMR_7623,bio/H
bio/HMR_7625,bio/H
bio/HMR_7627,bio/H
bio/HMR_7677,bio/H
bio/HMR_7678,bio/H
bio/HMR_3871,bio/H
bio/HMR_4498,bio/H
bio/HMR_4500,bio/H
bio/HMR_4714,bio/H
bio/HMR_4718,bio/H
bio/HMR_4723,bio/H
bio/HMR_4732,bio/H
bio/HMR_0663,bio/H
bio/HMR_6539,bio/H
bio/HMR_6542,bio/H
bio/HMR_6544,bio/H
bio/HMR_6546,bio/H
bio/HMR_6548,bio/H
bio/HMR_6551,bio/H
bio/HMR_6554,bio/H
bio/HMR_6555,bio/H
bio/HMR_6559,bio/H
bio/HMR_6563,bio/H
bio/HMR_6566,bio/H
bio/HMR_6567,bio/H
bio/HMR_6568,bio/H
bio/HMR_6573,bio/H
bio/HMR_6574,bio/H
bio/HMR_6576,bio/H
bio/HMR_6579,bio/H
