reactionID,dcid
bio/RE2626C,bio/C21H25N7O17P3
bio/RE2633C,bio/C21H25N7O17P3
bio/RE3470C,bio/C21H25N7O17P3
bio/G6PDH2c,bio/C21H25N7O17P3
bio/GNDc,bio/C21H25N7O17P3
bio/INDOXYLF,bio/C21H25N7O17P3
bio/AM1ALCShr,bio/C21H25N7O17P3
bio/DHGLZhc,bio/C21H25N7O17P3
bio/NFDOXDhc,bio/C21H25N7O17P3
bio/HMR_10064,bio/C21H25N7O17P3
bio/HMR_10071,bio/C21H25N7O17P3
bio/HMR_10072,bio/C21H25N7O17P3
bio/HMR_4097,bio/CHEMBL539
bio/HMR_4133,bio/CHEMBL539
bio/HMR_6001,bio/CHEMBL539
bio/HMR_6015,bio/CHEMBL539
bio/HMR_6031,bio/CHEMBL539
bio/HMR_6032,bio/CHEMBL539
bio/HMR_6034,bio/CHEMBL539
bio/HMR_6035,bio/CHEMBL539
bio/HMR_5292,bio/CHEMBL539
bio/HMR_8496,bio/CHEMBL539
bio/ACt2m,bio/CHEMBL539
bio/HMR_4097,bio/CHEMBL14249
bio/HMR_4133,bio/CHEMBL14249
bio/HMR_4379,bio/CHEMBL14249
bio/HMR_4394,bio/CHEMBL14249
bio/HMR_7746,bio/CHEMBL14249
bio/HMR_4130,bio/CHEMBL14249
bio/HMR_4414,bio/CHEMBL14249
bio/HMR_8761,bio/CHEMBL14249
bio/HMR_0454,bio/CHEMBL14249
bio/HMR_4297,bio/CHEMBL14249
bio/HMR_4310,bio/CHEMBL14249
bio/HMR_4317,bio/CHEMBL14249
bio/HMR_4318,bio/CHEMBL14249
bio/HMR_4319,bio/CHEMBL14249
bio/HMR_4320,bio/CHEMBL14249
bio/HMR_4402,bio/CHEMBL14249
bio/HMR_4490,bio/CHEMBL14249
bio/HMR_8726,bio/CHEMBL14249
bio/HMR_0153,bio/CHEMBL14249
bio/HMR_4459,bio/CHEMBL14249
bio/HMR_1436,bio/CHEMBL14249
bio/HMR_4052,bio/CHEMBL14249
bio/HMR_9799,bio/CHEMBL14249
bio/HMR_9800,bio/CHEMBL14249
bio/HMR_8074,bio/CHEMBL14249
bio/HMR_4000,bio/CHEMBL14249
bio/HMR_4012,bio/CHEMBL14249
bio/HMR_4046,bio/CHEMBL14249
bio/HMR_4453,bio/CHEMBL14249
bio/HMR_4600,bio/CHEMBL14249
bio/HMR_4611,bio/CHEMBL14249
bio/HMR_4799,bio/CHEMBL14249
bio/HMR_4802,bio/CHEMBL14249
bio/HMR_4808,bio/CHEMBL14249
bio/HMR_4810,bio/CHEMBL14249
bio/HMR_4032,bio/CHEMBL14249
bio/HMR_4034,bio/CHEMBL14249
bio/HMR_4194,bio/CHEMBL14249
bio/HMR_4513,bio/CHEMBL14249
bio/HMR_5299,bio/CHEMBL14249
bio/HMR_4054,bio/CHEMBL14249
bio/HMR_4180,bio/CHEMBL14249
bio/HMR_4185,bio/CHEMBL14249
bio/HMR_4186,bio/CHEMBL14249
bio/HMR_4633,bio/CHEMBL14249
bio/HMR_4641,bio/CHEMBL14249
bio/HMR_7161,bio/CHEMBL14249
bio/HMR_3811,bio/CHEMBL14249
bio/HMR_3890,bio/CHEMBL14249
bio/HMR_3903,bio/CHEMBL14249
bio/HMR_4606,bio/CHEMBL14249
bio/HMR_0457,bio/CHEMBL14249
bio/HMR_4584,bio/CHEMBL14249
bio/HMR_5392,bio/CHEMBL14249
bio/HMR_9718,bio/CHEMBL14249
bio/HMR_6784,bio/CHEMBL14249
bio/HMR_8794,bio/CHEMBL14249
bio/HMR_3875,bio/CHEMBL14249
bio/HMR_3889,bio/CHEMBL14249
bio/HMR_4324,bio/CHEMBL14249
bio/HMR_4326,bio/CHEMBL14249
bio/HMR_8771,bio/CHEMBL14249
bio/HMR_4425,bio/CHEMBL14249
bio/HMR_7128,bio/CHEMBL14249
bio/HMR_7129,bio/CHEMBL14249
bio/HMR_7132,bio/CHEMBL14249
bio/HMR_7139,bio/CHEMBL14249
