id,name,compartment,chemicalFormula,bigg.metabolite,chebi,chembl,kegg.compound,metanetx.chemical,hmdb,pubchem.compound,lipidmaps,dcid
m00755p,"""3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C48H74N7O19P3S,dhcholoylcoa,"""CHEBI:27393""",,C05447,MNXM163354,,5280796,LMST01010220,bio/C48H74N7O19P3S
m00756c,"""3alpha,7alpha-dihydroxy-5beta-cholestan-26-al""",dcs:CellularCompartmentEnumCytosol,C27H46O3,xol7ah2al,"""CHEBI:27428""",,C05445,MNXM1174,HMDB06894,53477906,LMST04030162,bio/C27H46O3
m00756m,"""3alpha,7alpha-dihydroxy-5beta-cholestan-26-al""",dcs:CellularCompartmentEnumMitochondria,C27H46O3,xol7ah2al,"""CHEBI:27428""",,C05445,MNXM1174,HMDB06894,53477906,LMST04030162,bio/C27H46O3
m00757m,"""3alpha,7alpha-dihydroxy-5beta-cholestan-27-al""",dcs:CellularCompartmentEnumMitochondria,C27H46O3,,,,,MNXM162871,,,,bio/C27H46O3
m00758c,"""3alpha,7alpha-dihydroxy-5beta-cholestanate""",dcs:CellularCompartmentEnumCytosol,C27H45O4,dhcholestanate,"""CHEBI:48467""",,C04554,MNXM162671,HMDB00359,53477686,LMST04030066,bio/C27H45O4
m00758m,"""3alpha,7alpha-dihydroxy-5beta-cholestanate""",dcs:CellularCompartmentEnumMitochondria,C27H45O4,dhcholestanate,"""CHEBI:48467""",,C04554,MNXM162671,HMDB00359,53477686,LMST04030066,bio/C27H45O4
m00758p,"""3alpha,7alpha-dihydroxy-5beta-cholestanate""",dcs:CellularCompartmentEnumPeroxisome,C27H45O4,dhcholestanate,"""CHEBI:48467""",,C04554,MNXM162671,HMDB00359,53477686,LMST04030066,bio/C27H45O4
m00758r,"""3alpha,7alpha-dihydroxy-5beta-cholestanate""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C27H45O4,dhcholestanate,"""CHEBI:48467""",,C04554,MNXM162671,HMDB00359,53477686,LMST04030066,bio/C27H45O4
m00759c,"""3alpha-hydroxy-5alpha-pregnan-20-one""",dcs:CellularCompartmentEnumCytosol,C21H34O2,,,,C13712,MNXM3494,,,LMST02030130,bio/C21H34O2
m00760c,"""3-amino-propanal""",dcs:CellularCompartmentEnumCytosol,C3H8NO,,"""CHEBI:58374""",,C05665,MNXM43758,,75,,bio/C3H8NO
m00761m,"""3beta,7alpha-dihydroxy-5-cholestenoate""",dcs:CellularCompartmentEnumMitochondria,C27H43O4,,,,,MNXM6853,,3081084,,bio/C27H43O4
m00762g,"""3-beta-D-glucuronosyl-3-beta-D-galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein""",dcs:CellularCompartmentEnumGolgiApparatus,C23H36O20X,cs_hs_linkage,"""G00157""",,C04903,MNXM147451,,,,bio/C23H36O20X
m00763m,"""3beta-hydroxy-5-cholestenal""",dcs:CellularCompartmentEnumMitochondria,C27H44O2,,,,,MNXM163194,,,,bio/C27H44O2
m00764m,"""3beta-hydroxy-5-cholestene-27-oate""",dcs:CellularCompartmentEnumMitochondria,C27H43O3,,,,,MNXM163195,,,,bio/C27H43O3
m00765m,"""3-carboxy-1-hydroxypropyl-ThPP""",dcs:CellularCompartmentEnumMitochondria,C16H21N4O10P2S,,"""CHEBI:1463""",,C05381,MNXM3480,,440649,,bio/C16H21N4O10P2S
m00766c,"""3-carboxy-alpha-chromanol""",dcs:CellularCompartmentEnumCytosol,C16H21O4,,,,,MNXM163170,,9943542,,bio/C16H21O4
m00766m,"""3-carboxy-alpha-chromanol""",dcs:CellularCompartmentEnumMitochondria,C16H21O4,,,,,MNXM163170,,9943542,,bio/C16H21O4
m00767m,"""3-decaprenyl-4-hydroxybenzoate""",dcs:CellularCompartmentEnumMitochondria,C57H85O3,3dphb,,,,MNXM3838,,,,bio/C57H85O3
m00768c,"""3-dehydro-L-gulonate""",dcs:CellularCompartmentEnumCytosol,C6H9O7,3dhguln,"""CHEBI:16142""",,C00618,MNXM736,HMDB06334,439273,,bio/C6H9O7
m00769c,"""3-dehydrosphinganine""",dcs:CellularCompartmentEnumCytosol,C18H38NO2,3dsphgn,"""CHEBI:17862""",,C02934,MNXM559,,,,bio/C18H38NO2
m00770m,"""3-demethylubiquinol-10""",dcs:CellularCompartmentEnumMitochondria,C58H90O4,,,,,MNXM36398,,,,bio/C58H90O4
m00771c,"""3-deoxy-D-glycero-D-galacto-2-nonulosonic acid""",dcs:CellularCompartmentEnumCytosol,C9H15O9,kdn,,,,MNXM9849,HMDB00425,22833524,,bio/C9H15O9
m00771s,"""3-deoxy-D-glycero-D-galacto-2-nonulosonic acid""",dcs:CellularCompartmentEnumExtracellular,C9H15O9,kdn,,,,MNXM9849,HMDB00425,22833524,,bio/C9H15O9
m00772c,"""3-deoxy-D-glycero-D-galacto-2-nonulosonic acid-9-phosphate""",dcs:CellularCompartmentEnumCytosol,C9H14O12P,kdnp,,,,MNXM9850,,,,bio/C9H14O12P
m00773m,"""3-hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C31H48N7O18P3S,3h26dm5coa,,,C11947,MNXM6801,HMDB04601,9543313,,bio/C31H48N7O18P3S
m00773p,"""3-hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C31H48N7O18P3S,3h26dm5coa,,,C11947,MNXM6801,HMDB04601,9543313,,bio/C31H48N7O18P3S
m00774c,"""3-hydroxyacyl group of bacterial toxin""",dcs:CellularCompartmentEnumCytosol,C52H91N2O23P2R5,,,,C11548,MNXM6090,,,,bio/C52H91N2O23P2R5
m00775c,"""3-hydroxyanthranilate""",dcs:CellularCompartmentEnumCytosol,C7H7NO3,3hanthrn,"""CHEBI:15793""",CHEMBL445304,C00632,MNXM359,,,,bio/CHEMBL445304
m00776c,"""3-hydroxydocosanoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C43H74N7O18P3S,,,,,MNXM162568,,25229586,,bio/C43H74N7O18P3S
m00776m,"""3-hydroxydocosanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C43H74N7O18P3S,,,,,MNXM162568,,25229586,,bio/C43H74N7O18P3S
m00776p,"""3-hydroxydocosanoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C43H74N7O18P3S,,,,,MNXM162568,,25229586,,bio/C43H74N7O18P3S
m00777c,"""3-hydroxyeicosanoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C41H70N7O18P3S,,,,,MNXM146349,,25229587,,bio/C41H70N7O18P3S
m00777m,"""3-hydroxyeicosanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C41H70N7O18P3S,,,,,MNXM146349,,25229587,,bio/C41H70N7O18P3S
m00777p,"""3-hydroxyeicosanoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C41H70N7O18P3S,,,,,MNXM146349,,25229587,,bio/C41H70N7O18P3S
m00778c,"""3-hydroxyheneicosanoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C42H72N7O18P3S,,,,,,,,,bio/C42H72N7O18P3S
m00778m,"""3-hydroxyheneicosanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C42H72N7O18P3S,,,,,,,,,bio/C42H72N7O18P3S
m00779c,"""3-hydroxyheptadecanoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C28H53N2O9PRS,,,,,,,,,bio/C28H53N2O9PRS
m00780m,"""3-hydroxyheptadecanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C38H64N7O18P3S,,,,,,,,,bio/C38H64N7O18P3S
m00781c,"""3-hydroxyheptanoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C18H33N2O9PRS,,,,,,,,,bio/C18H33N2O9PRS
m00782m,"""3-hydroxyheptanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C28H44N7O18P3S,,,,,MNXM147785,,,,bio/C28H44N7O18P3S
m00783c,"""3-hydroxyhexacosanoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C47H82N7O18P3S,,,,,MNXM1171,,,,bio/C47H82N7O18P3S
m00783p,"""3-hydroxyhexacosanoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C47H82N7O18P3S,,,,,MNXM1171,,,,bio/C47H82N7O18P3S
m00784m,"""3-hydroxyisobutyrate""",dcs:CellularCompartmentEnumMitochondria,C4H7O3,3hmp,"""CHEBI:37373""",,C06001,MNXM396,HMDB00023,440873,,bio/C4H7O3
m00785m,"""3-hydroxyisobutyryl-CoA""",dcs:CellularCompartmentEnumMitochondria,C25H38N7O18P3S,3hibutcoa,"""CHEBI:15481""",,C04047,MNXM1034,,45259165,,bio/C25H38N7O18P3S
m00786c,"""3-hydroxykynurenamine""",dcs:CellularCompartmentEnumCytosol,C9H13N2O2,3hxkynam,,,C05636,MNXM36534,,440736,,bio/C9H13N2O2
m00787c,"""3-hydroxykynurenine-O-beta-D-glucoside""",dcs:CellularCompartmentEnumCytosol,C16H22N2O9,,,,,MNXM163184,,,,bio/C16H22N2O9
m00788c,"""3-hydroxy-L-kynurenine""",dcs:CellularCompartmentEnumCytosol,C10H12N2O4,hLkynr,"""CHEBI:17380""",CHEMBL4071755,C03227,MNXM576,HMDB01152,11811,,bio/CHEMBL4071755
m00789c,"""3-hydroxy-N6,N6,N6-trimethyl-L-lysine""",dcs:CellularCompartmentEnumCytosol,C9H20N2O3,3htmelys,"""CHEBI:57515""",,C01259,MNXM91413,,439460,,bio/C9H20N2O3
m00790c,"""3-hydroxynonadecanoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C40H68N7O18P3S,,,,,,,,,bio/C40H68N7O18P3S
m00790m,"""3-hydroxynonadecanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C40H68N7O18P3S,,,,,,,,,bio/C40H68N7O18P3S
m00791c,"""3-hydroxynonanoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C20H37N2O9PRS,,,,,,,,,bio/C20H37N2O9PRS
m00792m,"""3-hydroxynonanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C30H48N7O18P3S,,,,,,,,,bio/C30H48N7O18P3S
m00793c,"""3-hydroxyoctadecanoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C39H66N7O18P3S,,,,,MNXM1309,,24906329,,bio/C39H66N7O18P3S
m00793m,"""3-hydroxyoctadecanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C39H66N7O18P3S,,,,,MNXM1309,,24906329,,bio/C39H66N7O18P3S
m00793p,"""3-hydroxyoctadecanoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C39H66N7O18P3S,,,,,MNXM1309,,24906329,,bio/C39H66N7O18P3S
m00794c,"""3-hydroxypentadecanoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C26H49N2O9PRS,,,,,,,,,bio/C26H49N2O9PRS
m00795m,"""3-hydroxypentadecanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C36H60N7O18P3S,,,,,,,,,bio/C36H60N7O18P3S
m00796c,"""3-hydroxypentanoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C16H29N2O9PRS,,,,,,,,,bio/C16H29N2O9PRS
m00797m,"""3-hydroxypentanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C26H40N7O18P3S,,,,,MNXM10037,,,,bio/C26H40N7O18P3S
