id,compartment,metabolite_dcid
m00072p,dcs:CellularCompartmentPeroxisome,bio/(2E_4Z_7Z_10Z)-hexadecatetraenoyl-CoA
m00073m,dcs:CellularCompartmentMitochondria,bio/(2E_6Z_9Z_12Z)-octadecatetraenoyl-CoA
m00073p,dcs:CellularCompartmentPeroxisome,bio/(2E_6Z_9Z_12Z)-octadecatetraenoyl-CoA
m00074c,dcs:CellularCompartmentCytosol,bio/MNXM145822
m00075p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL1162496
m00076p,dcs:CellularCompartmentPeroxisome,bio/(2R_6R_10R)-trimethyl-hendecanoyl-CoA
m00077p,dcs:CellularCompartmentPeroxisome,bio/MNXM165274
m00078p,dcs:CellularCompartmentPeroxisome,bio/MNXM30947
m00079p,dcs:CellularCompartmentPeroxisome,bio/MNXM30996
m00080p,dcs:CellularCompartmentPeroxisome,bio/MNXM30997
m00081m,dcs:CellularCompartmentMitochondria,bio/MNXM31113
m00081p,dcs:CellularCompartmentPeroxisome,bio/MNXM31113
m00082m,dcs:CellularCompartmentMitochondria,bio/MNXM31119
m00082p,dcs:CellularCompartmentPeroxisome,bio/MNXM31119
m00083m,dcs:CellularCompartmentMitochondria,bio/MNXM31120
m00083p,dcs:CellularCompartmentPeroxisome,bio/MNXM31120
m00084m,dcs:CellularCompartmentMitochondria,bio/MNXM1251
m00085c,dcs:CellularCompartmentCytosol,bio/(3S)-hydroxy-docasa-cis_cis-13_16-dienoyl-CoA
m00086c,dcs:CellularCompartmentCytosol,bio/(3S)-hydroxy-eicosa-cis_cis_cis-11_14_17-trienoyl-CoA
m00087c,dcs:CellularCompartmentCytosol,bio/MNXM163965
m00088m,dcs:CellularCompartmentMitochondria,bio/MNXM14550
m00088p,dcs:CellularCompartmentPeroxisome,bio/MNXM14550
m00089m,dcs:CellularCompartmentMitochondria,bio/(3Z_7Z_10Z)-hexadecatrienoyl-CoA
m00089p,dcs:CellularCompartmentPeroxisome,bio/(3Z_7Z_10Z)-hexadecatrienoyl-CoA
m00090p,dcs:CellularCompartmentPeroxisome,bio/MNXM31216
m00091m,dcs:CellularCompartmentMitochondria,bio/(4Z_7Z_10Z)-hexadecatrienoyl-CoA
m00091p,dcs:CellularCompartmentPeroxisome,bio/(4Z_7Z_10Z)-hexadecatrienoyl-CoA
m00092c,dcs:CellularCompartmentCytosol,bio/MNXM8558
m00092m,dcs:CellularCompartmentMitochondria,bio/MNXM8558
m00092r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM8558
m00093c,dcs:CellularCompartmentCytosol,bio/MNXM3265
m00093m,dcs:CellularCompartmentMitochondria,bio/MNXM3265
m00093p,dcs:CellularCompartmentPeroxisome,bio/MNXM3265
m00093r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM3265
m00094c,dcs:CellularCompartmentCytosol,bio/MNXM11427
m00094l,dcs:CellularCompartmentLysosome,bio/MNXM11427
